"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2026","5,080.90","5,015.00","5,131.00","4,999.30","127.97K","1.67%"
"02/19/2026","4,997.40","4,993.70","5,042.80","4,971.50","87.03K","-0.24%"
"02/18/2026","5,009.50","4,898.50","5,031.90","4,868.50","98.20K","2.11%"
"02/17/2026","4,905.90","5,050.00","5,074.40","4,854.20","166.71K","-2.08%"
"02/16/2026","5,010.11","5,038.09","5,050.60","4,985.44","42.20K","-0.57%"
"02/15/2026","5,039.06","5,053.00","5,070.00","5,026.44","","-0.14%"
"02/13/2026","5,046.30","4,950.00","5,069.10","4,907.10","123.02K","1.98%"
"02/12/2026","4,948.40","5,107.30","5,122.80","4,900.00","161.62K","-2.94%"
"02/11/2026","5,098.50","5,048.00","5,144.50","5,036.30","129.97K","1.34%"
"02/10/2026","5,031.00","5,084.30","5,102.70","5,011.00","105.66K","-0.95%"
"02/09/2026","5,079.40","5,003.60","5,111.10","4,988.60","124.15K","2.00%"
"02/06/2026","4,979.80","4,800.00","4,995.60","4,670.00","177.81K","1.85%"
"02/05/2026","4,889.50","4,986.60","5,045.00","4,779.60","234.59K","-1.24%"
"02/04/2026","4,950.80","4,966.10","5,113.90","4,867.70","245.96K","0.32%"
"02/03/2026","4,935.00","4,691.00","5,018.10","4,690.20","260.11K","6.07%"
"02/02/2026","4,652.60","4,816.00","4,905.60","4,423.20","385.98K","-1.95%"
"01/30/2026","4,745.10","5,410.00","5,480.20","4,700.40","508.00K","-11.39%"
"01/29/2026","5,354.80","5,449.90","5,626.80","5,126.00","570.06K","0.64%"
"01/28/2026","5,321.00","5,198.00","5,433.50","5,175.00","10.33K","4.30%"
"01/27/2026","5,101.40","5,038.30","5,209.50","5,031.00","6.64K","-0.02%"
"01/26/2026","5,102.40","5,028.40","5,124.30","5,005.00","7.98K","1.70%"
"01/23/2026","5,017.00","4,977.80","5,028.30","4,937.70","83.40K","1.37%"
"01/22/2026","4,949.40","4,871.00","4,980.10","4,807.90","68.88K","1.57%"
