"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2026","82.343","78.475","84.645","77.285","55.40K","6.07%"
"02/19/2026","77.634","77.145","79.405","76.300","39.92K","0.05%"
"02/18/2026","77.598","73.580","78.320","72.250","46.41K","5.52%"
"02/17/2026","73.540","77.550","78.420","71.815","72.73K","-3.58%"
"02/16/2026","76.270","76.265","77.438","74.685","15.77K","-0.02%"
"02/15/2026","76.287","77.527","78.420","74.650","","-2.15%"
"02/13/2026","77.964","75.175","79.265","73.745","56.88K","3.02%"
"02/12/2026","75.682","84.125","84.875","74.370","91.03K","-9.82%"
"02/11/2026","83.920","80.500","86.120","80.415","64.91K","4.40%"
"02/10/2026","80.384","83.215","83.745","79.615","56.17K","-2.25%"
"02/09/2026","82.234","78.100","83.760","78.100","71.60K","6.94%"
"02/06/2026","76.895","70.360","77.920","63.900","111.21K","0.24%"
"02/05/2026","76.714","87.645","89.830","70.175","165.09K","-9.10%"
"02/04/2026","84.396","84.915","92.015","83.000","113.34K","1.31%"
"02/03/2026","83.301","79.220","89.100","79.010","127.59K","8.17%"
"02/02/2026","77.009","84.300","88.000","71.200","167.86K","-1.94%"
"01/30/2026","78.531","115.885","118.450","74.000","317.24K","-31.37%"
"01/29/2026","114.429","116.625","121.785","106.610","193.65K","1.12%"
"01/28/2026","113.162","112.095","117.030","110.495","1.44K","7.17%"
"01/27/2026","105.592","104.760","112.750","102.595","1.72K","-8.30%"
"01/26/2026","115.148","104.970","117.265","101.510","1.95K","13.63%"
"01/23/2026","101.333","96.320","103.530","96.220","139.09K","5.15%"
"01/22/2026","96.372","92.790","96.735","90.680","108.42K","4.03%"
